date	month	year	mld
2007-03-15	3	2007	15.0866708755
2007-03-16	3	2007	51.5241127014
2007-03-17	3	2007	51.1362838745
2007-03-18	3	2007	50.4694099426
2007-03-19	3	2007	49.9952735901
2007-03-20	3	2007	49.4324569702
2007-03-21	3	2007	49.1106719971
2007-03-22	3	2007	49.0774078369
2007-03-23	3	2007	49.3000640869
2007-03-24	3	2007	49.6318778992
2007-03-25	3	2007	50.2553291321
2007-03-26	3	2007	50.9325370789
2007-03-27	3	2007	11.0883340836
2007-03-28	3	2007	4.9080600739
2007-03-29	3	2007	19.6938056946
2007-03-30	3	2007	51.8229141235
2007-03-31	3	2007	51.4207763672
2007-04-01	4	2007	51.0064735413
2007-04-02	4	2007	50.3280715942
2007-04-03	4	2007	49.8653755188
2007-04-04	4	2007	22.7512321472
2007-04-05	4	2007	8.5328330994
2007-04-06	4	2007	1.4294999838
2007-04-07	4	2007	6.8147053719
2007-04-08	4	2007	0
2007-04-09	4	2007	12.6786165237
2007-04-10	4	2007	4.5278697014
2007-04-11	4	2007	0
2007-04-12	4	2007	2.99700737
2007-04-13	4	2007	5.6014475822
2007-04-14	4	2007	2.3600304127
2007-04-15	4	2007	0.3651725948
2007-04-16	4	2007	4.5107159615
2007-04-17	4	2007	12.6264009476
2007-04-18	4	2007	7.282269001
2007-04-19	4	2007	0
2007-04-20	4	2007	0
2007-04-21	4	2007	3.2954668999
2007-04-22	4	2007	8.6013460159
2007-04-23	4	2007	11.3396139145
2007-04-24	4	2007	20.7856407166
2007-04-25	4	2007	20.228969574
2007-04-26	4	2007	10.5604543686
2007-04-27	4	2007	14.3919010162
2007-04-28	4	2007	9.5409870148
2007-04-29	4	2007	7.5676612854
2007-04-30	4	2007	2.9589958191
2007-05-01	5	2007	14.7561502457
2007-05-02	5	2007	12.5920286179
2007-05-03	5	2007	15.1217956543
2007-05-04	5	2007	6.3936133385
2007-05-05	5	2007	1.5733501911
2007-05-06	5	2007	17.8878631592
2007-05-07	5	2007	20.3922462463
2007-05-08	5	2007	23.9038829803
2007-05-09	5	2007	19.2222671509
2007-05-10	5	2007	27.1803455353
2007-05-11	5	2007	21.2477245331
2007-05-12	5	2007	27.4982948303
2007-05-13	5	2007	22.1960926056
2007-05-14	5	2007	51.6072502136
2007-05-15	5	2007	26.163192749
2007-05-16	5	2007	10.9213457108
2007-05-17	5	2007	49.9195404053
2007-05-18	5	2007	19.5673866272
2007-05-19	5	2007	49.1479110718
2007-05-20	5	2007	21.8067035675
2007-05-21	5	2007	4.6662502289
2007-05-22	5	2007	7.2753052711
2007-05-23	5	2007	6.9188656807
2007-05-24	5	2007	5.1408572197
2007-05-25	5	2007	6.2867693901
2007-05-26	5	2007	11.7637119293
2007-05-27	5	2007	6.747695446
2007-05-28	5	2007	30.1760692596
2007-05-29	5	2007	9.9967622757
2007-05-30	5	2007	8.3684043884
2007-05-31	5	2007	15.3732786179
2007-06-01	6	2007	0
2007-06-02	6	2007	10.1195898056
2007-06-03	6	2007	12.9784851074
2007-06-04	6	2007	9.530880928
2007-06-05	6	2007	8.5728597641
2007-06-06	6	2007	7.2930121422
2007-06-07	6	2007	8.2613687515
2007-06-08	6	2007	6.2293434143
2007-06-09	6	2007	1.0915408134
2007-06-10	6	2007	2.1722412109
2007-06-11	6	2007	2.7789781094
2007-06-12	6	2007	3.7346229553
2007-06-13	6	2007	8.4472503662
2007-06-14	6	2007	4.8132038116
2007-06-15	6	2007	5.0893940926
2007-06-16	6	2007	0
2007-06-17	6	2007	3.0744655132
2007-06-18	6	2007	4.9652900696
2007-06-19	6	2007	11.7612743378
2007-06-20	6	2007	14.3677577972
2007-06-21	6	2007	17.4033412933
2007-06-22	6	2007	6.9574394226
2007-06-23	6	2007	6.2454648018
2007-06-24	6	2007	11.1432247162
2007-06-25	6	2007	10.6180057526
2007-06-26	6	2007	23.0618286133
2007-06-27	6	2007	14.3554925919
2007-06-28	6	2007	12.2734460831
2007-06-29	6	2007	17.6501502991
2007-06-30	6	2007	12.6218509674
2007-07-01	7	2007	18.0268936157
2007-07-02	7	2007	17.9159393311
2007-07-03	7	2007	17.8483810425
2007-07-04	7	2007	20.2390384674
2007-07-05	7	2007	18.001991272
2007-07-06	7	2007	27.3948459625
2007-07-07	7	2007	14.7055034637
2007-07-08	7	2007	7.9468240738
2007-07-09	7	2007	8.9881601334
2007-07-10	7	2007	15.8125648499
2007-07-11	7	2007	7.595263958
2007-07-12	7	2007	8.019452095
2007-07-13	7	2007	7.9406161308
2007-07-14	7	2007	16.8467082977
2007-07-15	7	2007	6.5019497871
2007-07-16	7	2007	4.098294735
2007-07-17	7	2007	8.0833501816
2007-07-18	7	2007	9.5234069824
2007-07-19	7	2007	6.0241470337
2007-07-20	7	2007	0.5250407457
2007-07-21	7	2007	6.1386852264
2007-07-22	7	2007	6.9964604378
2007-07-23	7	2007	11.6713876724
2007-07-24	7	2007	15.0583114624
2007-07-25	7	2007	15.8200912476
2007-07-26	7	2007	23.0298862457
2007-07-27	7	2007	19.5698471069
2007-07-28	7	2007	14.8467073441
2007-07-29	7	2007	7.3739624023
2007-07-30	7	2007	5.7335839272
2007-07-31	7	2007	0
2007-08-01	8	2007	0
2007-08-02	8	2007	7.1868014336
2007-08-03	8	2007	6.8109507561
